Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
03-04,24.267,14.24,79.172,13.64,9.552,23.267,14.45,2.32,2.867,5.267,2.846,3.857,5.889,3.7,0.837,3.925,6.525,6.46,3.725,6.16
03-05,33.3,9.267,32.067,15.708,5.407,5.967,6.75,20.591,3.786,18.435,3.679,3.417,4.578,5.057,0.95,3.25,1.65,11.164,3.457,3.333
03-06,21.267,33.448,21.259,14.615,12.481,3.233,13.4,19.333,3.207,12.833,8.833,2.227,10.591,3.774,7.289,7.763,7.475,2.63,3.714,10.6
03-07,27.767,24.0,15.333,20.2,24.2,2.048,9.12,5.958,2.808,7.567,16.333,2.889,6.083,9.6,1.667,8.85,3.95,2.269,3.575,3.615
03-08,37.867,22.778,13.621,11.233,12.967,3.0,7.967,8.2,3.567,7.31,6.538,2.765,3.568,3.059,1.178,6.975,1.692,5.873,2.875,2.087
03-09,32.533,23.567,21.36,19.32,1.875,3.0,7.433,9.68,20.103,4.034,3.5,5.778,4.542,4.367,1.0,4.85,1.5,2.56,2.195,2.42
03-10,25.833,21.767,4.214,20.75,3.345,7.862,6.7,6.292,2.345,3.8,2.1,1.526,6.25,1.429,0.956,2.692,1.765,6.804,2.067,4.86
03-11,30.733,13.3,14.63,29.433,12.407,7.133,5.828,3.4,2.65,14.435,1.926,5.04,4.46,1.286,0.911,1.429,1.048,1.618,2.6,4.463
03-12,21.7,23.4,22.64,11.3,24.75,7.933,8.679,3.435,13.107,26.458,16.2,3.64,4.245,3.167,2.561,0.935,1.296,5.306,1.32,8.231
03-13,13.933,25.333,13.607,12.667,22.095,4.367,11.107,3.16,5.68,2.577,17.3,3.4,3.6,23.25,2.512,1.212,2.367,5.52,3.933,1.889
03-14,22.833,21.48,11.88,35.765,14.24,5.857,6.767,3.88,3.37,11.833,1.767,8.04,3.894,14.321,2.791,1.629,3.733,1.865,11.021,3.917
03-15,18.667,23.16,12.833,6.76,4.92,6.24,7.5,3.76,3.885,2.241,1.889,3.88,11.8,9.839,5.867,1.914,4.276,2.261,1.578,6.289
03-16,11.5,21.036,16.04,4.625,8.739,3.9,9.133,5.72,8.933,9.167,2.286,7.92,15.178,2.735,0.977,1.743,5.167,1.796,1.745,3.96
03-17,16.633,11.867,11.44,8.368,8.462,3.08,6.655,2.64,3.4,2.348,16.72,18.25,8.459,0.771,9.727,4.382,7.294,4.023,6.4,10.18
03-18,30.6,13.133,15.655,6.783,13.84,6.72,11.696,8.96,1.964,3.538,11.885,3.3,5.6,2.343,0.933,1.71,5.0,13.614,2.22,3.9
03-19,20.267,42.1,13.414,7.4,16.467,7.8,3.65,4.56,2.542,11.867,1.667,6.3,3.231,3.171,1.875,5.3,3.615,2.62,1.327,3.92
03-20,16.8,29.1,19.04,11.5,36.778,6.2,4.4,4.217,6.7,3.367,1.36,3.867,2.275,4.114,21.2,5.133,1.771,9.66,8.92,6.067
03-21,14.6,19.867,16.867,9.64,6.433,5.88,8.133,9.2,7.8,5.8,2.68,5.9,1.581,2.03,4.1,1.857,10.206,7.04,2.957,9.32
03-22,13.4,25.5,4.385,8.88,0.56,7.88,9.379,3.682,14.533,11.667,9.619,4.538,2.324,0.964,3.625,7.457,9.8,6.66,17.356,2.304
03-23,32.067,23.233,18.033,12.32,3.556,12.292,13.63,10.05,6.433,3.542,2.407,8.25,2.167,1.032,5.103,1.903,8.943,2.256,5.326,2.04
03-24,40.233,19.793,9.867,8.6,15.345,5.16,14.933,7.2,3.12,4.438,1.828,3.667,7.628,1.971,7.8,2.2,2.029,3.444,2.41,2.52
03-25,29.0,30.267,10.0,7.04,26.967,3.4,5.167,8.92,2.333,3.25,1.48,3.24,5.3,5.677,3.0,1.433,1.429,11.091,2.75,1.7
03-26,22.133,21.5,15.655,39.346,12.967,3.917,6.1,5.55,4.143,1.92,4.958,4.607,3.0,27.571,1.975,1.325,1.429,2.089,3.133,1.32
03-27,17.833,18.567,19.759,12.167,9.0,23.55,4.467,17.957,3.75,2.04,2.292,4.5,4.936,4.091,1.243,2.103,1.229,1.711,2.289,1.92
03-28,23.6,15.033,8.172,7.435,34.133,16.238,5.28,4.84,3.96,1.56,11.68,3.862,12.234,4.088,1.436,1.525,1.4,1.378,1.38,4.72
03-29,23.103,14.778,8.034,8.8,6.862,8.062,6.9,5.08,4.433,2.28,21.286,4.621,4.933,2.171,3.6,1.125,4.3,1.513,1.78,2.674
03-30,26.379,17.0,8.643,30.333,13.379,5.8,7.233,4.4,4.4,2.526,2.682,3.379,3.52,2.143,2.45,1.425,1.966,1.844,8.78,2.8
03-31,29.32,21.533,7.367,39.467,11.25,12.72,9.7,4.6,4.138,3.818,2.429,3.333,2.957,2.412,2.19,2.289,2.438,2.52,2.52,13.8
04-01,25.16,30.333,7.567,30.833,8.909,13.263,4.833,2.96,4.533,0.947,2.222,2.667,2.733,2.086,2.419,2.244,1.4,1.167,1.46,1.75
04-02,16.333,18.2,13.034,19.7,9.957,25.6,2.96,2.87,4.04,1.85,2.267,3.7,2.0,1.706,2.561,2.356,1.233,0.86,2.208,7.1
04-03,13.367,21.167,16.304,14.0,8.625,16.32,3.12,4.5,3.6,1.214,2.929,1.9,1.957,1.486,2.442,1.711,4.1,1.156,2.12,1.417
04-04,19.667,24.32,10.24,9.633,8.92,6.087,7.037,11.409,4.52,1.048,3.586,2.462,1.682,9.706,3.854,0.867,9.733,0.857,4.64,2.139
04-05,8.267,24.433,12.192,8.033,7.8,6.37,7.556,3.65,3.704,6.261,9.407,1.933,2.72,16.647,1.867,5.467,10.25,2.195,1.571,2.129
04-06,38.5,14.433,7.963,5.9,7.368,6.81,6.367,3.95,12.862,1.296,5.269,2.75,3.542,2.429,1.067,3.689,11.486,2.333,1.277,1.625
04-07,23.76,24.5,8.778,18.12,5.04,22.286,4.16,3.55,3.867,27.034,3.533,2.462,1.388,1.533,1.35,9.356,7.143,1.951,1.7,1.25
04-08,21.567,17.3,9.64,18.526,7.44,14.125,1.48,2.45,8.5,3.767,4.759,7.68,10.583,1.25,1.4,6.36,3.865,2.02,2.16,7.694
04-09,18.267,14.172,12.862,15.7,11.179,11.667,2.1,2.2,4.571,2.31,1.885,6.2,17.08,1.29,3.625,8.52,8.432,1.787,2.2,1.722
04-10,4.72,13.16,7.148,23.857,3.767,4.75,4.5,2.2,3.96,2.286,4.345,4.036,15.733,1.543,12.343,11.06,4.356,2.489,1.438,2.657
04-11,28.333,16.267,11.68,12.15,4.367,4.312,10.346,3.25,6.037,1.467,7.31,8.4,9.878,1.242,4.15,10.86,2.6,10.156,0.86,1.6
04-12,23.345,18.633,14.957,13.55,3.4,13.0,25.767,2.636,8.857,1.5,2.433,10.483,3.051,1.294,2.55,3.12,3.425,1.522,1.578,1.233
04-13,18.033,40.833,9.72,4.05,3.893,19.333,0.92,1.25,5.4,1.37,1.286,5.414,2.667,0.686,2.6,6.152,5.175,2.88,0.841,1.075
04-14,11.76,35.913,7.5,5.958,19.926,25.083,0.333,3.56,2.276,5.043,2.857,4.8,3.0,0.886,2.286,1.408,3.026,1.76,0.909,4.65
04-15,19.7,30.0,13.897,9.92,17.893,35.133,1.1,24.28,4.467,1.125,2.9,3.533,4.511,1.342,1.5,4.5,4.438,2.644,11.067,5.917
04-16,16.3,31.857,16.133,9.074,20.138,39.233,0.7,6.15,28.759,1.259,8.586,2.033,2.841,2.15,2.311,2.711,2.371,8.333,7.949,2.35
04-17,14.138,17.087,12.65,12.3,9.8,22.84,1.682,3.524,16.704,1.923,3.0,2.9,4.956,2.675,1.467,4.02,2.771,1.362,3.0,4.55
04-18,13.467,7.211,26.56,5.56,8.3,16.909,3.0,6.05,5.379,2.8,2.5,2.214,2.81,2.0,2.325,1.86,8.029,1.408,3.425,1.35
04-19,14.267,14.567,22.913,8.52,48.036,7.185,4.174,4.5,4.8,15.867,6.655,2.72,4.62,6.2,2.111,1.136,8.486,10.18,3.838,1.325
04-20,14.133,25.3,23.96,8.64,25.37,5.16,4.28,4.048,6.793,1.708,2.684,4.333,2.83,9.282,4.545,1.667,2.429,3.545,1.6,2.256
04-21,9.933,19.167,18.24,9.828,20.929,7.174,2.28,2.88,4.067,7.1,3.0,2.133,4.761,3.432,5.214,4.6,2.0,3.543,2.55,1.875
04-22,5.056,23.038,32.04,11.64,11.517,4.909,3.16,2.92,6.567,5.533,4.16,2.4,2.88,7.55,5.205,4.548,2.033,6.36,4.0,7.225
04-23,9.071,21.2,18.8,13.667,7.0,19.621,8.4,4.875,4.0,3.043,3.1,2.733,4.449,5.303,5.0,3.462,1.618,2.417,2.525,2.0
04-24,10.64,27.2,19.765,13.739,9.966,2.556,2.92,3.6,9.333,2.923,2.3,2.167,3.186,3.474,1.886,1.935,3.128,1.88,4.4,1.525
04-25,12.333,12.345,17.478,12.214,10.633,2.042,6.071,2.4,4.5,3.1,1.643,1.862,2.356,4.222,2.7,2.34,1.35,1.5,1.947,1.625
04-26,17.167,14.3,14.28,11.6,7.4,4.1,7.448,4.583,4.929,3.655,1.76,2.207,3.045,3.079,1.778,1.7,2.212,1.34,7.818,4.875
04-27,21.067,21.2,9.88,22.96,8.821,23.923,7.533,4.0,5.233,3.724,1.8,3.0,5.087,5.744,1.178,1.326,1.966,4.418,2.933,2.844
04-28,17.6,18.233,6.417,11.667,4.815,10.65,7.04,6.48,3.828,3.6,1.714,3.276,4.667,2.459,1.593,6.341,1.85,1.182,2.244,2.378
04-29,14.933,21.7,9.214,18.167,10.148,11.2,6.16,5.96,3.96,6.167,1.852,3.267,4.911,4.432,2.733,2.061,2.075,0.909,2.333,2.59
04-30,14.033,21.033,11.96,19.261,9.0,7.7,4.04,3.565,4.321,4.233,1.76,5.32,8.556,0.821,6.525,1.604,1.243,1.545,1.867,1.8
05-01,11.267,29.44,8.0,11.24,10.192,6.15,1.96,3.84,3.958,3.367,1.32,4.28,12.27,1.525,2.081,1.66,1.775,5.873,1.54,1.667
05-02,11.679,22.35,10.786,17.067,6.867,5.9,6.391,3.048,3.1,3.733,1.8,6.25,3.897,5.865,2.324,4.911,2.25,3.25,2.0,1.778
05-03,18.714,23.933,13.296,17.367,2.8,6.444,8.828,2.565,3.786,3.367,6.28,1.808,5.243,1.6,8.457,1.711,5.59,1.846,6.304,1.705
05-04,20.24,24.0,6.44,8.4,17.368,7.19,7.68,3.318,13.0,3.033,3.72,7.533,6.136,1.85,2.1,2.022,3.946,9.74,4.365,1.524
05-05,19.4,25.7,12.87,14.467,7.741,16.433,8.04,3.4,4.233,2.9,13.783,12.148,9.195,1.95,3.029,2.171,5.029,1.927,2.527,1.333
05-06,18.167,17.633,14.462,14.2,11.033,8.08,7.76,2.96,4.4,9.103,3.24,4.967,24.933,11.176,3.194,1.622,16.053,2.036,13.891,0.978
05-07,19.233,19.167,25.267,13.92,7.931,6.5,7.4,4.0,5.92,2.929,5.25,12.926,8.022,2.8,3.9,2.311,12.919,5.818,1.078,1.025
05-08,12.2,15.867,13.192,12.269,9.103,5.44,9.423,3.556,7.36,5.067,6.76,2.5,4.044,1.973,2.267,1.551,2.775,6.549,8.826,0.872
05-09,13.3,13.133,16.8,8.8,6.833,8.444,8.6,3.52,9.286,8.267,10.167,4.0,4.111,2.725,2.8,8.82,6.05,3.5,6.58,0.929
05-10,18.52,22.0,11.76,11.467,4.667,6.333,8.852,3.12,5.241,13.429,10.905,5.773,9.317,4.625,9.05,2.94,4.825,4.48,2.84,1.143
05-11,15.2,17.067,8.8,19.7,6.433,10.231,4.393,14.0,5.867,8.88,3.375,4.389,3.41,7.538,1.9,2.167,4.511,6.48,1.681,6.178
05-12,20.9,14.9,20.933,5.714,10.793,8.958,17.964,8.68,9.963,11.348,4.13,5.65,3.857,4.657,6.35,5.62,4.844,3.52,1.54,2.167
05-13,23.207,13.182,14.316,10.852,8.87,7.727,6.28,2.652,3.9,10.583,2.64,15.143,5.333,2.118,4.415,2.8,6.7,2.927,1.84,3.0
05-14,18.533,20.067,6.167,20.696,8.0,6.897,8.2,10.308,5.417,3.567,3.333,24.32,2.733,1.226,1.25,2.978,1.575,6.58,20.94,4.622
05-15,6.267,24.9,15.533,11.733,10.0,9.24,3.577,4.875,3.333,2.357,1.917,3.25,2.829,5.025,2.1,2.208,2.6,4.075,10.02,9.575
05-16,7.931,23.074,17.708,11.345,5.167,6.76,2.731,7.44,2.833,2.174,2.55,2.263,8.78,8.275,13.756,1.6,3.0,3.291,2.587,2.85
05-17,15.267,15.727,16.133,33.4,2.233,9.6,5.931,6.864,11.769,1.24,2.667,2.619,5.886,2.8,19.111,2.722,1.447,4.927,9.3,1.35
05-18,22.179,18.828,9.633,6.067,39.174,12.241,12.233,10.28,3.643,1.667,4.833,2.815,6.683,5.025,3.067,1.875,3.3,4.2,9.182,1.075
05-19,22.68,20.267,4.15,10.172,10.571,11.13,5.304,21.28,3.333,1.667,2.682,3.917,11.689,2.846,3.7,2.955,1.882,3.145,3.44,2.044
05-20,17.333,26.1,38.714,9.333,2.517,13.0,7.433,3.24,3.067,5.767,3.68,5.12,7.622,2.35,8.205,8.676,2.026,4.164,1.86,1.525
05-21,16.533,22.367,26.458,5.12,19.88,6.04,5.464,1.909,4.143,2.138,3.13,4.233,17.222,1.938,7.911,5.886,6.8,11.86,9.444,2.405
05-22,14.103,15.367,11.167,5.24,19.667,2.2,9.036,2.318,3.321,2.133,12.72,3.4,2.179,5.273,10.444,5.116,2.525,14.714,10.6,1.974
05-23,12.724,44.033,16.467,5.69,17.133,4.64,28.037,3.043,2.759,2.2,7.04,6.111,2.69,8.594,16.775,1.867,2.75,2.54,4.225,2.29
05-24,20.931,21.0,30.214,8.233,12.433,5.103,9.552,3.24,2.833,1.7,3.44,3.4,9.244,2.273,24.0,2.156,2.424,2.489,8.756,4.025
