,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
06-29,0.519,1.670,0.764,0.380,,,,0.738,,0.304,,,0.954,1.388,,1.612,0.532,,0.453,0.309
06-30,1.320,1.485,0.154,0.373,,0.199,,0.904,0.859,0.634,,,,0.192,,0.326,,,0.562,0.283
07-01,0.849,1.095,1.509,0.890,,0.874,,0.718,,0.478,,,0.539,0.331,,1.768,1.514,0.463,0.259,
07-02,0.702,1.496,0.831,0.561,,0.565,,1.681,,0.672,,,0.835,0.558,1.225,,0.476,0.545,0.987,0.170
07-03,,,0.346,,,0.599,,,0.801,0.381,,,0.518,0.693,2.217,1.218,0.325,,0.473,
07-04,0.703,1.273,0.511,,,,,0.790,0.376,0.597,,,0.866,1.108,,0.942,0.840,,0.721,0.752
07-05,0.675,1.197,0.284,,,0.134,,,,0.263,,,0.706,,0.402,1.424,,0.930,0.240,0.646
07-06,0.840,0.357,0.428,0.633,,,,0.758,,0.292,,,0.720,,0.426,0.863,,0.700,0.371,0.408
07-07,0.625,0.845,0.390,0.479,,,,0.730,,0.414,,,0.437,,0.672,0.725,0.440,0.694,0.315,0.540
07-08,0.319,0.497,0.484,,,,,0.508,,0.419,,,0.402,,0.318,0.586,0.544,,0.649,0.467
07-09,0.227,0.717,1.108,0.758,,,,0.615,,0.449,,,,0.679,0.832,0.519,0.388,,0.709,0.589
07-10,0.865,1.000,0.559,0.380,,,,1.186,,,,,,0.565,,0.444,0.714,,0.310,
07-11,0.392,0.298,0.388,0.288,,,,,,0.780,,,0.317,0.530,0.827,0.459,0.350,,0.973,
07-12,0.153,0.716,0.790,0.530,,,,0.573,0.625,0.203,,,,0.545,0.316,,,0.435,0.485,0.473
07-13,0.407,0.693,0.583,0.279,,,,0.523,0.362,0.381,,,,,0.300,0.379,0.460,0.934,0.721,0.491
07-14,0.393,0.707,,0.449,,,,0.459,0.309,0.729,,,,0.469,0.804,0.699,,0.414,,0.604
07-15,0.258,0.312,,0.818,,,,0.490,1.005,0.324,,,,0.592,1.196,,0.635,0.357,1.085,0.514
07-16,0.188,1.423,,0.587,,,,,1.542,0.678,,,,0.472,,,0.517,0.584,0.914,0.566
