,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
05-09,283.78,264.58,285.06,256.56,278.6,272.03499999999997,259.76,276.08,261.48,271.75,269.51,260.22,,292.48,260.25
05-10,284.26,268.13,271.14,251.66000000000003,270.59,277.32,263.93,267.37,259.2,,260.38,,278.73,290.46,267.98
05-11,277.78,265.62,260.19,266.27,273.24,270.01,,281.8,263.78,272.94,271.15,258.54,266.82,274.63,260.76
05-12,279.56,265.98,267.26,273.82,,275.2,258.31,266.49,264.38,272.55,265.41,252.91,273.57,,263.08
05-13,271.87,275.46,261.72,263.99,269.335,263.72,,,253.0,271.72,,265.43,275.52,275.71,259.94
05-14,265.52,276.95500000000004,273.8,254.15,261.95,269.27,263.23,267.08,267.37,276.08,275.53999999999996,269.95,275.0,274.37,262.79
05-15,270.81,279.23,272.44,252.84,264.25,,259.86,262.69,261.13,281.34,274.84,,270.46,271.33,
05-16,280.2,284.33,270.08,262.7,263.56,267.345,266.76,269.04,,280.35,277.38,259.09000000000003,272.31,,246.75
05-17,276.45,282.7,272.395,252.72,268.23,270.28,266.55,269.13,258.78,276.68,277.4,271.02,269.25,265.12,251.24
05-18,279.06,268.83,264.07,256.7,258.18,266.58,,278.81,,272.98,275.59,253.89,,268.72,266.88
05-19,295.0,271.42,266.07,263.255,,261.63,266.90999999999997,273.68,266.31,,276.62,251.54,269.525,266.36,276.41
05-20,293.625,269.77,265.72,,259.36,,282.97,,268.29,278.405,274.38,261.94,275.28,268.24,268.79
05-21,289.16,279.89,262.95,265.12,264.47,268.56,275.65,278.415,267.47,282.66,275.62,265.15,270.23,,273.59
05-22,282.31,267.97,261.68,265.03,265.68,,262.8,277.01,265.91,269.39,,,273.35,266.225,273.57
05-23,282.05,270.345,263.45,263.25,273.19,272.64,,272.7,,271.5,283.495,260.06,274.87,271.8,269.1
05-24,276.48,278.2,265.66,263.04,271.67,,266.42,266.65,262.36,277.26,,252.64,271.62,267.88,
05-25,273.18,277.73,267.23,262.9,272.19,268.27,259.14,275.16,261.84,273.95,267.17,256.75,,270.08,271.525
