Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
03-14,84.457,52.429,66.2,61.703,57.135,40.167,84.775,73.971,43.771,75.367,66.4,62.32,58.81,47.853,74.85,22.35,93.682,52.524,70.872,78.208
03-15,57.286,60.086,113.282,44.575,58.75,19.771,88.325,72.571,62.861,66.31,33.656,56.08,48.95,18.146,74.4,18.975,95.628,45.891,60.222,72.84
03-16,62.571,55.605,104.075,53.95,35.342,31.342,79.275,61.086,76.103,73.467,25.636,56.68,64.1,22.841,36.771,36.55,86.956,59.622,63.745,52.273
03-17,83.371,37.9,110.571,61.444,79.361,44.075,70.0,58.343,60.051,52.522,58.281,54.917,72.562,49.778,40.958,47.853,72.289,58.5,63.78,53.509
03-18,113.143,74.282,105.711,47.368,78.8,58.368,60.105,65.771,46.053,47.964,71.742,56.35,72.475,69.178,35.467,49.029,73.425,53.872,61.02,48.545
03-19,98.314,99.868,94.725,57.385,80.775,77.03,45.275,75.229,39.971,52.938,30.412,58.567,67.412,85.711,63.775,56.343,50.561,58.44,58.044,47.236
03-20,70.257,101.25,73.714,61.5,63.844,89.0,55.45,81.433,73.675,49.8,46.129,61.133,55.086,81.711,82.975,60.2,32.65,56.08,64.558,54.42
03-21,54.314,67.1,95.35,78.675,46.829,85.029,78.05,82.324,68.375,48.8,55.371,64.633,45.52,62.744,73.55,53.378,43.227,50.94,67.021,52.927
03-22,90.543,64.85,58.55,90.25,44.533,96.289,82.622,74.903,79.125,53.514,77.71,89.808,49.594,34.158,80.5,61.622,33.422,51.54,60.578,53.078
03-23,98.6,82.154,82.6,84.15,61.643,80.538,65.27,73.533,75.0,55.552,70.162,64.292,50.368,32.634,70.882,54.659,40.689,62.029,55.047,55.582
03-24,104.154,92.872,87.2,76.694,69.026,62.475,68.7,80.966,74.975,73.059,61.212,67.933,68.528,74.133,69.971,50.475,41.619,77.4,49.154,69.0
03-25,110.2,91.175,98.081,63.686,62.556,69.8,50.128,78.033,39.533,67.345,65.8,71.25,69.486,60.171,74.7,46.943,36.867,64.612,63.0,58.055
03-26,112.55,96.25,96.744,74.306,74.789,71.795,67.45,100.964,66.75,60.04,66.833,88.87,68.955,57.689,56.425,41.289,36.067,76.36,73.05,58.528
03-27,113.75,68.075,85.2,65.944,59.156,88.029,70.05,76.333,70.618,52.125,70.128,100.6,65.756,58.256,54.441,43.756,36.889,67.556,75.303,53.0
03-28,91.65,57.3,59.775,37.844,65.486,88.457,71.806,90.771,81.4,50.76,90.6,102.0,65.5,75.386,57.744,41.511,60.881,65.94,61.089,59.37
03-29,133.55,69.892,81.95,62.886,59.0,49.2,80.7,95.457,89.158,64.867,62.765,89.0,77.056,80.889,70.556,49.578,54.25,55.725,70.289,71.708
03-30,121.75,64.575,102.55,12.914,49.118,57.55,84.975,94.31,91.359,56.947,64.733,82.414,59.844,74.311,61.875,57.093,48.909,66.38,62.0,85.255
03-31,111.2,109.2,74.775,48.212,37.781,81.525,80.7,81.6,97.923,88.923,70.455,80.481,59.463,72.364,71.5,67.098,64.324,55.709,55.8,80.073
04-01,88.825,110.7,107.2,68.514,45.833,80.029,85.486,56.543,78.949,44.091,68.0,64.062,49.95,78.733,84.578,84.022,71.378,46.345,62.044,68.75
04-02,86.325,104.875,110.85,44.727,71.816,74.225,74.771,60.303,81.971,50.19,67.8,74.171,40.721,59.41,85.805,81.289,44.145,48.727,71.578,70.0
04-03,95.575,114.1,111.364,98.029,59.75,89.975,52.571,64.8,69.152,47.273,78.947,77.529,38.048,58.289,79.711,79.489,46.327,59.782,70.545,61.392
04-04,104.75,78.857,99.897,74.457,64.316,93.447,60.771,50.5,73.571,57.29,77.425,72.774,55.275,74.341,71.304,66.733,63.42,56.2,77.636,76.784
04-05,60.7,93.9,96.862,80.633,44.45,106.85,83.297,56.367,73.486,80.312,79.027,65.657,67.311,57.864,70.04,66.489,69.907,85.822,75.185,65.234
04-06,89.2,67.25,98.97,99.0,42.1,97.438,100.0,61.633,93.718,80.257,93.694,75.179,56.233,81.091,63.28,71.644,83.32,83.62,68.173,61.709
04-07,66.943,84.95,56.906,86.633,30.686,102.088,94.025,66.667,78.525,61.588,93.25,80.29,29.591,77.425,52.82,67.5,78.12,78.609,72.509,67.927
04-08,117.4,98.075,61.0,74.138,35.767,99.368,63.205,61.533,78.026,69.629,89.0,75.6,55.047,71.606,54.3,84.488,86.653,70.74,69.2,71.078
04-09,61.075,86.525,70.179,42.771,52.375,105.45,81.925,50.8,95.703,74.176,48.833,79.4,68.525,65.588,65.312,88.644,90.63,78.18,69.135,60.059
04-10,73.975,113.1,73.872,71.25,39.95,72.55,81.15,66.286,87.171,80.061,73.818,91.636,56.838,65.333,66.025,77.2,85.636,75.54,75.265,82.7
04-11,92.075,112.0,77.361,50.743,36.538,76.037,74.222,79.69,90.892,65.657,82.794,76.833,55.048,62.526,74.622,66.88,81.873,76.776,61.479,77.98
04-12,81.25,110.85,81.3,96.853,27.975,103.353,69.7,68.906,70.594,63.4,47.462,83.968,58.143,59.0,83.4,75.56,83.17,59.111,70.857,63.222
04-13,107.1,88.0,84.657,87.914,33.658,103.114,74.2,63.7,90.026,65.906,35.595,85.382,76.818,57.111,96.075,72.065,81.4,65.04,64.531,73.564
